sample,location,region,region2,Contig51781-2182,Contig7437-297,Contig19921-198,Contig43068-228,Contig18508-1189,Contig48434-398,Contig47323-480,Contig52170-261,Contig44754-173,Contig76320-480,Contig73761-413,Contig12238-2416,Contig75365-1536,Contig36727-1876,Contig11732-584,Contig70391-1125,Contig7209-1592,Contig75240-3293,Contig26899-4679,Contig54830-1845,Contig55280-1132,Contig28180-782,Contig75701-1296,Contig84643-228,Contig94283-521,Contig9951-1310,Contig35075-585,Contig40476-2086,Contig21109-2670,Contig87964-826,Contig17601-354,Contig43011-2013,Contig30235-2735,Contig59027-934,Contig11632-2800,Contig43353-1147,Contig28811-1509,Contig38445-1320,Contig27316-1247,Contig71144-917,Contig94535-593,Contig95759-384,Contig82221-1244,Contig41680-787,Contig17251-1035,Contig11157-581,Contig36597-373,Contig89303-853,Contig48247-1242,Contig29192-3957,Contig53440-770,Contig49627-293,Contig14467-285
FloridaCb-14535X55,7Flori,Florida,North,2,1,1,2,0,0,0,0,0,1,0,2,1,NA,1,1,0,2,0,1,0,1,NA,1,NA,1,0,2,0,0,0,2,0,0,0,0,0,0,1,2,1,0,1,NA,0,0,1,NA,0,1,1,1,0
Jamaica42-14535X9NA,9Littl,Jamaica,Central,1,0,1,1,1,0,NA,0,NA,1,0,0,0,NA,1,2,NA,NA,0,NA,1,0,NA,0,NA,NA,0,1,0,0,0,1,1,0,0,0,NA,0,NA,1,0,0,0,NA,NA,1,NA,NA,NA,NA,1,0,0
LittleCayman1NA-14537X58,9Littl,Jamaica,Central,2,2,0,2,0,0,0,0,0,1,0,2,1,NA,2,NA,NA,1,0,1,1,1,0,0,1,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,NA,NA,0,0,2,0,NA,0,0,0,0,0,1,0,0
LittleCayman11-14537X59,9Littl,Jamaica,Central,0,0,2,0,NA,0,0,0,0,1,0,2,0,NA,0,NA,0,2,1,2,1,0,1,0,0,1,0,2,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0
LittleCayman12-14537X6NA,9Littl,Jamaica,Central,1,1,0,1,0,1,0,0,0,1,1,2,0,0,2,NA,0,2,0,0,0,1,0,NA,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0
LittleCayman13-14537X61,9Littl,Jamaica,Central,0,0,1,1,NA,0,NA,0,0,0,0,0,1,NA,0,1,1,NA,0,1,1,0,NA,NA,1,0,0,1,0,1,1,1,NA,0,NA,0,0,0,1,NA,0,2,2,0,0,1,1,0,1,1,0,0,0
LittleCayman16-14537X64,9Littl,Jamaica,Central,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,1,0,0,2,0,0,1,0,1,1,0,0,0,2,1,0,0
LittleCayman17-14537X65,9Littl,Jamaica,Central,2,2,1,2,0,0,0,0,2,1,1,0,1,NA,1,NA,0,NA,0,1,NA,1,0,0,NA,0,0,NA,NA,1,0,1,NA,0,1,0,0,0,NA,NA,0,0,1,NA,0,0,NA,NA,0,1,0,0,0
LittleCayman18-14537X66,9Littl,Jamaica,Central,0,0,1,0,0,0,0,0,0,1,0,0,0,0,NA,1,1,1,0,0,1,1,1,NA,1,1,0,NA,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,NA,0,0,0,1,0,0,1
LittleCayman2NA-14537X68,9Littl,Jamaica,Central,2,0,0,1,0,0,NA,0,1,2,0,0,0,NA,0,2,0,2,0,1,1,0,NA,NA,NA,NA,0,0,0,1,1,1,NA,0,0,0,0,0,NA,1,0,0,NA,NA,0,1,NA,NA,0,1,1,0,0
LittleCayman22-14537X7NA,9Littl,Jamaica,Central,1,1,1,1,NA,0,0,0,NA,1,0,1,1,1,NA,1,0,2,0,1,NA,0,NA,0,1,0,0,NA,0,0,2,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,NA,2,0,0,1,2,NA,0
LittleCayman24-14537X72,9Littl,Jamaica,Central,2,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0
LittleCayman3-14537X51,9Littl,Jamaica,Central,1,1,1,0,NA,NA,0,0,0,1,0,0,1,0,0,NA,0,2,0,0,0,0,0,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,1,0,0,0,1,0,NA
LittleCayman6-14537X54,9Littl,Jamaica,Central,1,1,NA,2,0,0,0,1,0,1,0,1,1,NA,0,NA,0,2,0,2,1,0,NA,0,NA,0,0,NA,0,0,1,1,NA,1,0,0,NA,0,1,NA,0,0,0,NA,0,NA,NA,0,0,NA,0,0,0
LittleCayman7-14537X55,9Littl,Jamaica,Central,2,2,0,2,0,0,1,0,0,2,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,NA,2,0,0,1,0,0,0,1,0,0,1,0,0,0
LittleCayman8-14537X56,9Littl,Jamaica,Central,1,1,1,1,0,NA,0,0,0,2,0,1,1,NA,NA,2,0,2,0,0,0,0,0,1,NA,1,0,NA,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,NA,0,0,1,0,0,0
LittleCayman9-14537X57,9Littl,Jamaica,Central,1,1,1,1,0,1,0,0,0,0,0,1,1,NA,0,NA,0,0,0,1,0,0,1,1,1,0,0,NA,1,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,NA,1,0,0,0,1,0,1,0
PB24-14535X17,9PB,Jamaica,Central,1,NA,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,2,0,0,1,1,1,1,1,0,1,1,0,2,1
PB26-14535X18,9PB,Jamaica,Central,2,1,0,2,0,0,1,0,0,0,0,2,2,0,1,1,0,2,1,1,0,1,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0
PB7NA-14535X19,9PB,Jamaica,Central,1,1,1,1,NA,0,0,0,0,1,0,0,NA,NA,1,2,0,1,0,2,1,0,NA,NA,0,NA,0,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,0,1,0,1,NA,0,1,0,1,0
PB71-14535X2NA,9PB,Jamaica,Central,0,0,2,0,0,0,1,0,1,1,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,1,1,0,1,0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,0
PB72-14535X21,9PB,Jamaica,Central,1,0,NA,1,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,NA,0,NA,1,0,0
PB73-14535X22,9PB,Jamaica,Central,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,1,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,0,NA,1,0,1,1,NA,1,1,0,0,1,1,2,0,0
PB75-14535X24,9PB,Jamaica,Central,1,1,2,1,0,1,0,0,1,1,0,1,1,NA,1,2,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,NA,0,0,1,0,0,NA,0,0,0,0,0,2,0,0,0,NA,0,0,0
PuertoRico12CM-14537X25,Puert,PuertoR,Central,2,2,0,2,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,2,0,0,0,0,2,1,1,0,0,2,0,0,0,2,0,0,1,0,0,0
PuertoRico17CF-14537X46,Puert,PuertoR,Central,2,2,1,2,0,0,1,0,1,1,0,1,NA,1,2,NA,1,2,2,1,1,0,NA,0,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,1,0,1,0,NA,0,NA,0,2,0,0,0
PuertoRico19DFa-14537X28,Puert,PuertoR,Central,1,1,0,1,NA,0,0,1,NA,0,0,2,NA,0,0,NA,0,1,0,0,NA,1,NA,0,NA,NA,0,0,0,0,1,2,NA,0,1,0,NA,0,0,2,0,1,0,0,0,NA,0,NA,0,1,1,NA,0
PuertoRico21CF-14537X26,Puert,PuertoR,Central,1,1,1,1,0,0,0,0,0,1,0,1,1,0,NA,2,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0
PuertoRico25CM-14537X33,Puert,PuertoR,Central,1,1,NA,1,0,0,1,0,0,1,0,2,1,1,0,1,0,2,0,2,0,2,NA,0,NA,1,0,1,1,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1,1,1,1,0
PuertoRico27CM-14537X27,Puert,PuertoR,Central,2,2,NA,2,0,0,0,1,0,1,1,1,0,1,2,1,0,2,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,2,0,0,0,1,0,1,1,0,0,0
PuertoRico28DF-14537X48,Puert,PuertoR,Central,2,1,NA,2,0,0,0,0,1,1,0,1,2,NA,1,NA,0,NA,0,0,1,0,1,NA,NA,NA,0,1,0,1,0,1,NA,1,1,0,1,1,1,2,0,NA,1,NA,0,0,NA,NA,0,1,0,0,NA
PuertoRico31CM-14537X4NA,Puert,PuertoR,Central,NA,1,NA,NA,1,0,0,1,1,0,0,1,NA,NA,0,NA,0,NA,1,1,0,1,NA,0,NA,1,0,NA,NA,0,0,NA,0,0,1,0,0,0,0,2,0,0,0,0,0,0,NA,NA,0,1,1,0,0
PuertoRico32CM-14537X31,Puert,PuertoR,Central,2,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,NA,0,1,1,0,0
PuertoRico33AF-14537X3NA,Puert,PuertoR,Central,2,1,0,2,NA,0,NA,0,0,1,1,1,NA,NA,2,NA,0,2,0,1,1,0,1,NA,NA,1,0,NA,0,0,0,1,1,0,0,NA,NA,0,NA,NA,1,0,0,NA,0,1,NA,NA,0,1,1,0,0
PuertoRico34CM-14537X29,Puert,PuertoR,Central,0,0,2,0,NA,0,0,0,0,0,1,1,2,0,2,2,0,2,0,1,0,0,0,0,1,1,0,0,1,0,1,2,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,1,NA,0,0,1
PuertoRico37CF-14537X37,Puert,PuertoR,Central,2,1,NA,2,1,0,0,0,0,1,0,1,1,0,NA,0,0,NA,0,1,0,0,0,0,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,0,0,1,1,0,0
PuertoRico4NACF-14537X32,Puert,PuertoR,Central,2,1,1,1,0,0,0,0,0,2,0,1,NA,0,1,1,0,NA,0,1,0,0,0,0,0,1,0,NA,0,0,0,1,0,NA,0,0,NA,0,0,NA,0,1,0,0,0,0,NA,0,0,1,1,0,0
SandBoresC1NA-14537X9,6Sand ,Bahamas,North,1,1,1,1,1,0,2,1,0,2,0,2,NA,0,0,1,1,1,1,0,0,1,2,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,NA,0,0,0
SandBoresC13-14537X4,6Sand ,Bahamas,North,0,0,1,1,0,0,1,1,0,0,0,1,0,NA,0,1,0,1,1,1,0,NA,NA,0,1,0,0,NA,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,NA,0,1,0,1,NA,0,0,0
SandBoresC14-14537X24,6Sand ,Bahamas,North,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,1,0,1,1,0,1,NA,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0
SandBoresC18-14537X17,6Sand ,Bahamas,North,1,1,1,1,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,0,0,0,NA,2,1,0,1,0,0,NA,0,1,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,0
SandBoresC2NA-14537X3,6Sand ,Bahamas,North,2,2,0,2,0,0,0,0,0,0,1,1,1,1,1,2,2,2,0,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,NA,0,1,1,0,0
SandBoresC21-14537X1NA,6Sand ,Bahamas,North,1,1,1,1,1,0,NA,0,NA,1,0,1,1,0,NA,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,NA,1,NA,0,0
SandBoresC23-14537X15,6Sand ,Bahamas,North,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,NA,0,2,0,0,0,1,0,NA,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
SandBoresC24-14537X6,6Sand ,Bahamas,North,0,0,1,0,0,1,0,0,0,1,0,0,1,1,NA,1,0,2,0,2,1,0,NA,0,1,1,0,0,0,1,1,1,1,0,0,0,2,0,NA,2,1,0,2,1,0,2,0,0,0,1,0,1,0
SandBoresC26-14537X5,6Sand ,Bahamas,North,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,2,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,1,0,0,0
SandBoresC28-14537X12,6Sand ,Bahamas,North,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA,0,1,0,0,0
SandBoresC29-14537X11,6Sand ,Bahamas,North,0,0,2,0,0,0,1,1,0,0,0,1,NA,0,0,1,0,1,1,0,1,0,1,0,1,1,0,NA,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,0,1,1,NA,0,NA,1,0,0
SandBoresC31-14537X13,6Sand ,Bahamas,North,1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,2,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,2,0,NA,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,NA,1,0,0
SandBoresC32-14537X16,6Sand ,Bahamas,North,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0
SandBoresC37-14537X14,6Sand ,Bahamas,North,2,0,0,1,0,0,0,0,2,1,0,2,2,0,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,2,0,1,1,0,0,2,1,0,1,0,0,0,0
SandBoresC39-14537X7,6Sand ,Bahamas,North,1,1,1,1,0,0,1,0,0,2,0,2,1,0,NA,1,0,2,0,0,2,1,0,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,0
SandBoresC4NA-14537X23,6Sand ,Bahamas,North,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NA,1,NA,1,0,0
SandBoresC41-14537X21,6Sand ,Bahamas,North,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,NA,0,1,0,0,0
SandBoresC42-14537X19,6Sand ,Bahamas,North,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,NA,0,0,0,1,1,1,2,0,0,1,0,0,0,0,1,0,0
SandBoresC43-14537X22,6Sand ,Bahamas,North,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
SandBoresC5-14537X18,6Sand ,Bahamas,North,0,0,2,0,0,0,1,0,1,1,0,0,1,0,1,1,0,2,1,1,2,0,2,NA,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,1,1,0,0
SandBoresC7-14537X8,6Sand ,Bahamas,North,0,0,2,0,0,0,0,1,NA,1,0,1,0,2,1,1,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0
SandBoresC8-14537X2NA,6Sand ,Bahamas,North,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,1,1,2,1,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,1,0,2,0,1
SandBoresC8a-14537X1,6Sand ,Bahamas,North,1,1,1,0,0,0,0,0,0,1,0,1,1,0,2,0,1,1,0,1,1,2,1,0,1,1,0,NA,0,0,0,2,1,0,0,0,0,0,1,1,0,1,2,0,0,0,1,0,1,0,2,0,1
SandBoresCa-14537X2,6Sand ,Bahamas,North,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,2,0,1,2,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,1,0,0,0
SanSalvador1-14536X81,5SanSa,Bahamas,North,1,1,0,1,0,0,0,0,2,1,0,1,1,0,2,1,0,1,0,2,0,0,2,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0
SanSalvador1NA-14536X9NA,5SanSa,Bahamas,North,0,0,NA,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,1,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,1,0,0,0
SanSalvador11-14536X91,5SanSa,Bahamas,North,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
SanSalvador12-14536X92,5SanSa,Bahamas,North,1,1,1,0,0,0,0,0,0,2,1,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,NA,2,0,0
SanSalvador13-14536X93,5SanSa,Bahamas,North,1,1,1,1,0,0,2,0,0,0,0,2,0,1,1,1,0,2,0,1,0,1,1,0,2,1,1,1,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
SanSalvador15-14536X95,5SanSa,Bahamas,North,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,1,0,1,0,0,0,1,1,0,NA,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,0
SanSalvador2-14536X82,5SanSa,Bahamas,North,1,0,NA,0,0,1,0,1,0,0,0,2,1,1,0,2,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0
SanSalvador3-14536X83,5SanSa,Bahamas,North,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
SanSalvador4-14536X84,5SanSa,Bahamas,North,2,2,NA,1,0,0,1,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,1,0,1,0,0,2,0,0,1,1,0,0,1,0,0,0,1,2,0,1,1,1,0,0,1,0,0,0,0,1,0
SanSalvador5-14536X85,5SanSa,Bahamas,North,1,1,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1,1,0,0,2,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,NA,0,0,1,0,0,1,0,0,1,2,0,0,0
SanSalvador6-14536X86,5SanSa,Bahamas,North,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2,1,1,0,1,1,0,1,1,0,1,0,0,0,2,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
SanSalvador7-14536X87,5SanSa,Bahamas,North,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,1,2,0,0,1,0,0,0,0,2,1,1,1,0,1,0,0,1,0,1,0,1,0
SanSalvador8-14536X88,5SanSa,Bahamas,North,0,NA,1,NA,1,1,1,NA,0,2,0,1,2,0,2,1,0,2,0,1,NA,1,0,NA,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,NA,NA,1,0,0
SanSalvador9-14536X89,5SanSa,Bahamas,North,2,1,0,2,0,0,0,1,1,0,0,0,1,0,1,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
St.Eustacius1NA-14535X38,StE,StEust,South,1,1,2,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,NA,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,0,0
St.Eustacius11-14535X39,StE,StEust,South,1,1,1,1,1,0,0,0,0,0,0,1,1,1,NA,1,0,1,0,1,0,1,1,0,1,NA,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0
St.Eustacius13-14535X4NA,StE,StEust,South,2,2,1,2,NA,0,NA,0,0,1,NA,NA,1,NA,NA,1,1,1,0,1,0,0,2,0,0,0,0,NA,1,0,1,0,NA,0,NA,0,NA,0,NA,NA,1,1,1,1,0,NA,1,0,0,1,1,0,0
St.Eustacius5-14535X33,StE,StEust,South,2,2,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,NA,0,NA,0,0,0,1,0,0,2,0,1,0,0,0,1,1,0,0,1,0,0,0
St.Eustacius6-14535X34,StE,StEust,South,2,2,0,1,1,1,0,0,0,1,0,1,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,2,1,0,0,0,0,0,1,2,0,0
St.Eustacius8-14535X36,StE,StEust,South,2,1,0,2,0,0,0,0,0,0,0,2,1,0,1,1,0,2,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,NA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
St.Eustacius9-14535X37,StE,StEust,South,2,1,0,2,0,1,1,0,0,1,0,1,1,1,2,0,0,2,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0,0
St.Eustatius63-14535X83,StE,StEust,South,2,1,1,0,0,1,NA,0,0,1,NA,0,1,NA,0,NA,1,NA,0,0,1,1,NA,0,NA,0,1,2,0,0,0,1,1,0,0,0,NA,0,0,1,NA,0,0,0,NA,0,NA,0,0,1,0,1,NA
St.EustatiusC1-14535X84,StE,StEust,South,2,2,NA,2,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,NA,1,0,0
St.EustatiusC2-14535X85,StE,StEust,South,2,2,0,2,0,0,2,0,0,0,0,1,0,0,0,NA,0,2,0,NA,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,NA,0,1,1,0,0
St.EustatiusC4-14535X87,StE,StEust,South,2,2,0,1,0,0,1,0,0,0,0,0,1,1,0,NA,1,2,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0
